AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,3.850,0.200,2.150,0.00,0.00,2.960,1.490,2.190
25-29,0.00,0.200,0.00,0.00,3.330,2.390,0.320,1.690
30-34,0.00,0.430,1.890,0.00,8.700,2.160,1.510,1.890
35-39,0.00,1.110,2.670,0.00,4.550,3.790,2.250,3.250
40-44,0.00,0.960,1.560,0.00,0.00,6.410,1.760,5.030
45-49,0.00,1.470,1.750,0.00,0.00,8.620,2.860,6.940
50-54,0.00,3.400,7.140,25.00,0.00,12.15,2.030,10.01
55-59,0.00,2.240,8.110,0.00,20.00,14.72,8.020,12.64
60-64,9.090,6.020,21.05,50.00,0.00,20.01,8.000,17.27
65-OVER,3.850,8.020,0.00,0.00,20.00,29.24,10.40,25.41
TOTAL,1.470,2.480,3.400,4.170,4.880,11.85,3.240,9.460
