AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,16.67,1.36,0.00,0.00,0.00,6.30,1.41,3.50
25-29,0.00,0.68,0.00,0.00,0.00,4.99,0.83,2.78
30-34,16.67,1.09,0.00,0.00,0.00,8.10,1.39,5.18
35-39,0.00,0.58,12.50,0.00,0.00,10.79,3.17,6.81
40-44,0.00,1.64,0.00,0.00,0.00,13.46,3.85,8.67
45-49,0.00,3.38,0.00,0.00,0.00,14.64,1.59,10.38
50-54,0.00,4.28,0.00,0.00,0.00,18.48,5.77,12.93
55-59,0.00,7.74,0.00,0.00,0.00,23.20,3.57,17.75
60-64,0.00,5.43,0.00,0.00,0.00,27.72,12.50,20.19
65-OVER,0.00,10.60,0.00,0.00,0.00,33.52,9.48,26.90
TOTAL,5.41,4.21,1.22,0.00,0.00,20.07,3.56,13.76
