AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,1.300,0.00,7.690,5.500,0.680,3.190
25-29,0.00,0.00,1.920,0.00,0.00,3.830,0.00,2.380
30-34,0.00,3.830,0.00,0.00,0.00,6.260,0.00,4.830
35-39,0.00,1.050,0.00,0.00,25.00,6.560,1.230,4.750
40-44,0.00,1.230,0.00,0.00,0.00,9.760,1.390,7.080
45-49,0.00,1.740,0.00,100.0,0.00,14.85,1.390,11.00
50-54,0.00,2.800,4.350,0.00,0.00,15.86,0.00,11.48
55-59,0.00,2.790,0.00,0.00,0.00,19.21,8.450,14.80
60-64,0.00,7.980,0.00,0.00,0.00,20.94,3.330,16.51
65-OVER,16.67,8.520,10.00,0.00,0.00,30.91,9.170,25.92
TOTAL,5.560,3.740,1.670,14.29,3.390,16.94,2.190,12.53
