AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.0,0.77,0.0,0.0,0.0,3.96,2.17,2.45
25-29,0.0,2.25,0.0,0.0,0.0,2.86,1.12,2.28
30-34,0.0,1.74,0.0,0.0,0.0,5.34,0.0,3.72
35-39,0.0,4.29,0.0,0.0,5.56,7.39,2.78,5.97
40-44,0.0,3.51,0.0,0.0,0.0,8.56,7.23,6.92
45-49,0.0,6.1,0.0,0.0,16.67,12.32,5.66,10.07
50-54,0.0,8.43,0.0,0.0,0.0,15.8,4.3,13.0
55-59,0.0,8.03,0.0,0.0,9.09,19.27,8.25,15.6
60-64,0.0,11.21,3.57,0.0,0.0,27.05,10.11,21.82
65-OVER,0.0,16.02,1.85,0.0,13.33,31.41,10.16,27.85
TOTAL,0.0,6.75,0.24,0.0,4.0,17.37,4.64,13.4
