PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
SHAW,0.00,10.50,0.00,0.00,0.00,12.50,4.91,10.15
MOULTRIE,0.00,3.82,0.00,0.00,0.00,16.10,5.41,10.97
AUTREYVILLE,0.00,1.08,0.00,0.00,0.00,13.42,6.90,10.24
BRIDGECREEK,0.00,0.00,0.00,0.00,0.00,21.91,4.48,19.35
CROSLAND,0.00,0.00,0.00,0.00,33.33,16.67,0.00,11.33
DOERUN,0.00,6.22,33.33,0.00,16.67,26.01,4.00,17.94
FUNSTON,0.00,6.45,0.00,0.00,0.00,23.26,2.13,19.56
HAMILTON,0.00,0.00,0.00,0.00,0.00,16.47,5.45,14.53
HARTSFIELD,0.00,0.00,0.00,0.00,0.00,24.45,4.55,22.84
HOPEWELL,0.00,3.48,0.00,0.00,12.50,16.27,4.49,13.72
LEE,0.00,3.19,0.00,0.00,12.50,18.67,5.80,14.72
MILLCREEK,0.00,0.00,0.00,0.00,33.33,19.36,0.00,16.96
MONK,0.00,6.79,0.00,0.00,0.00,15.89,3.17,13.67
MURPHY,0.00,8.00,10.00,0.00,0.00,22.38,4.44,20.70
NORMAN PARK,0.00,1.99,0.00,0.00,0.00,14.02,1.79,10.68
ROBINSON,0.00,7.58,0.00,0.00,0.00,18.39,5.36,15.49
THIGPEN,0.00,4.76,0.00,0.00,0.00,20.21,9.09,17.78
TYTY,0.00,0.00,0.00,0.00,0.00,15.15,4.17,12.90
WARRIOR,0.00,2.56,0.00,0.00,0.00,15.58,5.41,13.58
TOTAL,0.00,6.75,0.24,0.00,4.00,17.35,4.64,13.39
