PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
01,0.0,13.58,0.0,0.0,0.0,14.22,0.79,12.11
02,0.0,10.86,9.09,0.0,0.0,13.72,10.19,12.67
03,16.67,13.3,0.0,0.0,11.11,15.81,7.77,13.75
04,0.0,18.75,0.0,0.0,0.0,10.56,4.46,9.47
05,0.0,3.67,6.67,0.0,0.0,11.14,4.01,9.23
06,10.0,3.92,0.0,0.0,3.85,10.66,3.41,8.0
07,5.56,8.51,8.57,0.0,12.9,8.3,2.66,7.17
08,4.0,3.3,2.78,0.0,2.86,8.33,3.0,6.04
09,10.62,3.81,1.9,0.0,2.27,8.61,4.23,6.65
10,8.33,1.74,0.0,0.0,0.0,5.89,0.65,3.25
11,2.13,3.97,2.22,0.0,0.0,7.35,2.27,5.31
12,0.0,10.79,3.12,0.0,0.0,14.39,7.16,12.22
13,8.7,3.27,1.11,0.0,2.33,11.15,3.56,8.14
14,21.74,6.06,2.44,0.0,7.41,14.39,8.69,12.8
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,8.33,6.3,2.1,0.0,3.31,10.75,4.06,8.39
