AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,43.86,0.00,0.00,33.33,42.86,0.00,40.86
25-29,0.00,41.30,0.00,0.00,0.00,21.74,33.33,33.33
30-34,0.00,46.34,25.00,0.00,0.00,46.15,0.00,43.84
35-39,0.00,35.09,0.00,0.00,0.00,41.94,16.67,36.17
40-44,0.00,43.48,0.00,0.00,0.00,33.33,50.00,40.28
45-49,0.00,48.15,0.00,0.00,0.00,62.07,25.00,51.72
50-54,0.00,56.45,0.00,0.00,0.00,66.67,100.0,61.00
55-59,0.00,63.64,0.00,0.00,0.00,63.27,0.00,62.02
60-64,0.00,72.06,0.00,0.00,0.00,79.55,50.00,74.14
65-OVER,100.0,75.51,0.00,0.00,100.0,71.72,50.00,73.15
TOTAL,100.0,58.24,16.67,0.00,40.00,61.48,31.71,58.39
