AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,1.20,2.99,1.57,4.76,2.31,5.87,2.37,3.71
25-29,0.73,1.94,0.74,0.00,1.43,3.43,2.16,2.41
30-34,0.86,3.13,2.35,0.00,2.15,5.92,3.53,4.12
35-39,2.24,5.79,2.15,0.00,2.94,8.60,5.46,6.51
40-44,2.33,8.82,3.27,10.00,5.81,12.40,6.61,9.53
45-49,4.65,12.04,2.52,0.00,9.48,16.56,9.85,13.16
50-54,4.52,13.78,6.06,0.00,8.31,21.88,11.63,16.67
55-59,5.18,17.23,6.43,16.67,12.71,26.96,16.12,21.33
60-64,6.29,19.89,6.51,0.00,8.80,31.68,15.02,25.02
65-OVER,9.84,26.69,8.89,0.00,17.49,38.47,20.68,32.75
TOTAL,3.84,10.67,3.29,3.45,6.43,20.67,8.73,14.31
