PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
IDEAL,10.21,9.09,0.00,9.61
OGLETHORPE,8.83,9.18,0.00,9.03
MARSHALLVILLE,11.97,11.43,0.00,11.67
MONTEZUMA #4,7.50,9.55,0.00,8.64
MONTEZUMA #5,6.07,7.47,0.00,6.89
88888,0.00,0.00,0.00,0.00
TOTAL,8.93,9.30,0.00,9.13
