PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
01,0.0,2.22,0.97,0.0,0.0,15.26,6.17,12.19
02,4.04,3.37,0.99,0.0,0.0,17.99,9.32,15.02
03,1.32,2.81,0.0,0.0,0.0,13.21,3.77,10.47
04,3.39,2.66,1.08,0.0,6.67,15.26,4.02,12.2
05,4.05,4.19,4.76,0.0,0.0,18.46,7.6,14.95
06,2.13,1.48,0.0,0.0,0.0,16.93,3.08,12.46
07,4.0,2.59,1.27,0.0,0.0,16.3,5.13,12.21
08,3.85,0.89,0.0,0.0,7.69,15.98,5.73,12.95
09,1.75,0.39,2.17,0.0,5.88,21.74,6.73,17.6
10,0.0,2.3,0.79,0.0,9.52,11.19,1.51,7.01
11,1.43,2.86,1.36,0.0,3.57,10.4,4.83,7.88
12,4.44,3.2,0.81,20.0,0.0,15.09,4.69,12.48
13,0.0,1.05,0.0,0.0,0.0,18.16,4.09,13.94
14,0.0,1.85,3.28,0.0,0.0,16.67,6.84,13.53
15,2.27,0.0,2.47,0.0,9.52,18.76,6.03,15.76
16,2.35,2.04,2.0,14.29,0.0,12.13,3.17,8.72
TOTAL,2.29,2.26,1.45,5.41,2.49,15.9,5.13,12.33
