PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
WILSON,20.66,19.65,0.00,20.08
CHICOPEE,8.87,9.37,0.00,9.12
OAKWOOD I,10.27,11.47,0.00,10.91
OAKWOOD II,19.70,19.02,0.00,19.33
FLOWERY BRANCH I,17.07,14.21,0.00,15.50
FLOWERY BRANCH II,14.76,14.04,20.00,14.39
ROBERTS,15.52,14.16,16.67,14.83
MORGAN I,21.18,20.32,28.57,20.76
MORGAN II,20.90,19.96,0.00,20.40
CANDLER,18.06,16.70,9.09,17.34
TADMORE,7.72,6.55,0.00,7.10
GLADE,13.05,12.89,0.00,12.94
LULA,18.74,17.30,0.00,17.96
CLERMONT,26.72,24.81,0.00,25.69
QUILLIANS,28.04,23.72,0.00,25.73
BARK CAMP,17.72,16.24,0.00,16.93
CHESTATEE,20.07,17.85,0.00,18.91
FORK,21.57,20.12,0.00,20.83
WHELCHEL,22.60,20.04,14.29,21.28
WEST WHELCHEL,33.95,30.04,0.00,31.82
GAINESVILLE I,19.56,17.66,0.00,18.48
GAINESVILLE II,2.35,4.22,0.00,3.40
GAINESVILLE III,5.90,4.44,0.00,5.12
GAINESVILLE IV,14.19,13.85,0.00,13.98
GAINESVILLE V,17.47,12.85,0.00,14.93
GILLSVILLE,23.16,20.72,0.00,21.87
BIG HICKORY,27.76,26.78,0.00,27.24
FRIENDSHIP I,17.89,16.35,7.69,17.06
FRIENDSHIP II,15.10,13.05,0.00,14.04
FRIENDSHIP III,13.38,12.55,16.67,12.95
FRIENDSHIP IV,18.02,15.30,0.00,16.54
88888,0.00,100.0,0.00,25.00
TOTAL,17.62,16.16,4.42,16.83
