PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
HARBINS A,11.48,10.33,0.00,10.85
ROCKBRIDGE A,6.04,6.75,5.88,6.43
DACULA,9.87,8.03,9.52,8.90
SUWANEE A,8.98,11.20,0.00,10.16
BAYCREEK A,16.20,17.33,0.00,16.72
GOODWINS A,9.89,9.45,8.33,9.66
DULUTH A,14.87,16.35,17.65,15.64
DUNCANS A,11.73,11.29,0.00,11.48
PUCKETTS A,14.52,12.62,0.00,13.48
CATES A,15.84,15.06,0.00,15.38
BERKSHIRE A,10.03,8.71,7.69,9.31
BERKSHIRE B,5.22,5.72,0.00,5.46
DUNCANS C,12.88,10.65,16.67,11.76
GARNERS A,16.90,15.38,7.69,16.08
LAWRENCEVILLE A,11.85,12.24,10.53,12.06
LAWRENCEVILLE B,10.14,10.44,0.00,10.26
MARTINS A,4.87,4.83,0.00,4.82
MARTINS B,10.14,9.82,6.67,9.95
MARTINS C,12.49,11.11,0.00,11.69
PINKCNEYVILLE A,4.35,5.09,0.00,4.73
PINCKNEYVILLE B,4.25,3.60,10.00,3.92
PINCKNEYVILLE C,20.74,19.18,0.00,19.81
PINCKNEYVILLE D,4.83,4.76,0.00,4.77
SUGAR HILL A,10.14,8.18,11.11,9.10
SUGAR HILL B,10.79,9.19,6.25,9.93
HOG MOUNTAIN A,9.48,9.17,5.00,9.29
HOG MOUNTAIN B,14.78,14.51,5.26,14.60
ROCKYCREEK A,11.69,9.24,16.67,10.41
CATES B,17.90,16.77,16.67,17.31
CATES C,10.45,10.10,0.00,10.22
HOG MOUNTAIN D,10.57,8.91,7.69,9.70
BERKSHIRE D,12.30,12.71,0.00,12.44
BERKSHIRE E,16.20,14.07,0.00,15.04
BERKSHIRE F,8.63,10.22,15.38,9.53
CATES D,13.60,12.95,7.69,13.24
CATES E,15.41,13.37,0.00,14.30
PINCKNEYVILLE E,4.81,4.36,9.09,4.58
PINCKNEYVILLE F,6.04,5.20,0.00,5.58
DUNCANS D,11.30,10.77,9.09,11.01
PINCKNEYVILLE H,13.87,13.70,0.00,13.74
BAYCREEK B,8.47,8.13,0.00,8.25
LAWRENCEVILLE C,13.62,12.15,12.50,12.85
MARTINS D,3.77,5.18,16.67,4.60
ROCKBRIDGE B,7.26,7.01,0.00,7.10
GARNERS B,10.29,11.15,0.00,10.73
CATES F,17.68,19.32,33.33,18.64
CATES G,18.40,17.56,11.11,17.94
DULUTH B,15.19,14.72,21.43,14.97
GARNERS C,11.39,8.85,0.00,10.00
PINCKNEYVILLE I,6.45,5.52,12.50,5.94
PINCKNEYVILLE J,2.10,1.77,0.00,1.91
BERKSHIRE G,15.95,14.00,0.00,14.91
CATES H,8.78,7.89,5.56,8.26
SUGAR HILL C,10.49,9.67,30.00,10.11
SUGAR HILL D,11.03,9.74,4.17,10.30
DULUTH C,15.32,14.33,28.57,14.82
DULUTH D,10.52,9.30,3.45,9.82
PINCKNEYVILLE K,4.71,4.14,0.00,4.38
PINCKNEYVILLE N,3.60,4.31,0.00,3.99
LAWRENCEVILLE D,4.68,4.74,0.00,4.69
LAWRENCEVILLE E,16.54,14.66,12.50,15.52
PINCKNEYVILLE L,22.24,22.02,0.00,22.09
PINCKNEYVILLE M,21.81,19.20,50.00,20.59
GARNERS D,8.26,9.53,18.18,9.00
BERKSHIRE H,7.96,6.86,0.00,7.37
PINCKNEYVILLE O,3.36,3.71,0.00,3.53
PUCKETTS E,10.16,8.14,0.00,9.01
CATES I,13.05,13.11,0.00,13.03
CATES J,9.83,8.47,0.00,9.07
GOODWINS B,15.76,15.50,9.09,15.61
LAWRENCEVILLE F,8.84,10.39,0.00,9.64
MARTINS E,1.66,2.57,0.00,2.17
PINCKNEYVILLE P,16.78,18.38,33.33,17.71
PINCKNEYVILLE Q,6.12,6.21,0.00,6.13
ROCKBRIDGE C,8.33,8.11,0.00,8.17
ROCKBRIDGE D,9.46,9.27,0.00,9.32
GOODWINS C,8.62,8.66,13.33,8.67
BAYCREEK K,14.79,14.61,0.00,14.63
CATES K,15.25,14.03,0.00,14.56
BAYCREEK C,12.46,12.12,3.45,12.24
CATES L,10.07,10.17,0.00,10.09
DULUTH E,6.39,8.25,0.00,7.44
GOODWINS D,10.83,11.64,12.50,11.25
LAWRENCEVILLE G,7.99,7.19,7.14,7.56
LAWRENCEVILLE H,13.41,12.49,9.09,12.91
MARTINS F,5.90,5.79,0.00,5.81
PINCKNEYVILLE S,10.67,10.13,0.00,10.37
ROCKBRIDGE E,5.92,6.23,0.00,6.05
SUGAR HILL E,11.91,10.95,0.00,11.35
LAWRENCEVILLE I,8.44,8.54,0.00,8.48
BAYCREEK D,15.97,15.05,7.69,15.44
BERKSHIRE J,16.78,15.35,25.00,16.05
CATES M,17.29,15.28,8.33,16.24
CATES N,18.21,17.43,0.00,17.71
DULUTH F,4.19,3.80,21.05,4.03
DULUTH G,18.40,17.96,20.00,18.18
GOODWINS E,12.42,11.94,8.70,12.15
GOODWINS F,9.59,10.12,18.18,9.90
PINCKNEYVILLE T,10.35,10.74,7.14,10.54
SUWANEE B,11.65,11.16,0.00,11.34
PINCKNEYVILLE U,14.88,12.27,0.00,13.38
PUCKETTS B,15.55,14.13,12.50,14.81
BERKSHIRE L,7.26,6.81,0.00,6.97
ROCKBRIDGE F,6.55,7.91,8.00,7.32
SUGAR HILL F,12.81,11.00,0.00,11.82
SUWANEE C,11.42,11.25,4.55,11.30
CATES O,15.22,17.27,0.00,16.23
BAYCREEK E,10.89,8.91,0.00,9.74
BERKSHIRE M,17.04,17.47,20.00,17.27
MARTINS G,6.37,7.93,0.00,7.17
DULUTH H,13.77,14.00,0.00,13.87
BERKSHIRE N,19.09,17.37,0.00,18.12
PINCKNEYVILLE V,8.11,7.97,0.00,8.00
PINCKNEYVILLE W,10.40,9.96,9.09,10.16
MARTINS H,8.31,8.98,8.70,8.66
MARTINS I,4.98,5.69,3.23,5.35
MARTINS J,3.66,4.90,4.55,4.36
GARNERS F,13.87,12.90,0.00,13.32
BERKSHIRE O,18.58,17.21,0.00,17.77
BERKSHIRE P,9.02,8.19,0.00,8.55
PINCKNEYVILLE X,14.81,14.75,0.00,14.73
ROCKBRIDGE G,6.64,6.46,22.73,6.61
PINCKNEYVILLE Y,3.27,3.63,0.00,3.45
GOODWINS G,7.35,7.70,7.69,7.54
PINCKNEYVILLE Z,22.20,18.73,33.33,20.59
PINCKNEYVILLE A1,20.87,20.22,9.09,20.49
LAWRENCEVILLE J,10.35,8.77,0.00,9.48
GOODWINS H,11.17,11.36,0.00,11.22
DUNCANS B,12.50,10.03,11.11,11.24
SUWANEE D,12.83,10.97,10.00,11.88
SUWANEE E,15.20,15.70,5.26,15.41
LAWRENCEVILLE K,12.93,12.42,14.29,12.67
HARBINS B,11.23,9.77,0.00,10.42
BAYCREEK F,13.19,13.69,14.29,13.47
PUCKETTS C,9.99,9.45,0.00,9.67
HOG MOUNTAIN C,10.68,9.76,0.00,10.16
