AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.65,0.00,0.00,0.00,1.28,0.00,0.80
25-29,0.00,0.70,0.00,0.00,0.00,11.49,0.00,4.60
30-34,0.00,0.00,0.00,0.00,0.00,3.75,0.00,1.36
35-39,0.00,0.69,0.00,0.00,0.00,11.11,0.00,3.86
40-44,0.00,3.28,0.00,0.00,0.00,1.49,0.00,2.62
45-49,0.00,2.50,0.00,0.00,0.00,10.13,14.29,5.74
50-54,0.00,3.57,0.00,0.00,0.00,14.61,0.00,6.64
55-59,0.00,2.38,0.00,0.00,0.00,22.43,0.00,9.76
60-64,0.00,4.07,20.00,0.00,0.00,25.40,33.33,13.46
65-OVER,0.00,4.78,0.00,0.00,0.00,26.52,10.00,14.70
TOTAL,0.00,2.71,6.25,0.00,0.00,17.09,4.49,8.20
