AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,3.50,1.16,2.46
25-29,0.00,0.00,0.00,0.00,0.00,4.38,0.00,2.92
30-34,0.00,0.00,0.00,0.00,0.00,5.64,0.00,4.14
35-39,0.00,0.00,0.00,0.00,0.00,5.16,0.00,4.00
40-44,0.00,1.33,11.11,0.00,0.00,8.28,5.56,7.18
45-49,50.00,1.52,0.00,0.00,0.00,12.10,2.94,10.24
50-54,0.00,0.00,0.00,0.00,0.00,11.95,6.25,9.94
55-59,0.00,1.35,0.00,0.00,0.00,16.06,3.23,13.10
60-64,100.0,3.61,0.00,0.00,0.00,22.17,9.68,18.72
65-OVER,0.00,3.20,0.00,100.0,0.00,30.71,12.00,27.54
TOTAL,11.76,1.19,1.43,20.00,0.00,15.52,3.92,12.61
