AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,1.110,0.00,0.00,0.00,3.810,0.380,2.240
25-29,0.00,1.280,0.00,0.00,0.00,2.950,0.00,1.970
30-34,0.00,1.740,0.00,0.00,0.00,7.310,0.00,4.210
35-39,0.00,3.870,0.00,0.00,0.00,9.060,1.590,6.160
40-44,0.00,4.460,0.00,0.00,0.00,10.99,1.820,7.220
45-49,5.000,7.270,0.00,0.00,0.00,13.84,6.560,10.34
50-54,5.880,9.620,7.140,0.00,0.00,21.16,4.050,14.72
55-59,8.330,11.56,0.00,0.00,0.00,24.96,10.59,18.73
60-64,10.53,16.00,33.33,0.00,0.00,30.81,7.250,24.04
65-OVER,2.440,20.17,12.50,0.00,23.08,37.68,16.22,31.50
TOTAL,3.110,8.500,4.050,0.00,2.910,21.29,4.880,15.00
