AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.00,0.00,0.00,0.00,6.070,1.820,3.780
25-29,0.00,0.00,0.00,0.00,0.00,2.830,1.570,1.900
30-34,0.00,0.00,8.330,0.00,0.00,5.050,3.200,3.590
35-39,0.00,1.990,14.29,0.00,0.00,8.720,3.880,6.460
40-44,0.00,1.620,8.330,0.00,10.00,10.25,4.810,7.830
45-49,0.00,2.630,0.00,0.00,0.00,15.10,5.940,11.60
50-54,16.67,2.620,12.50,0.00,0.00,21.99,10.53,16.53
55-59,100.0,4.720,28.57,0.00,0.00,22.32,14.96,18.00
60-64,16.67,5.440,0.00,100.0,0.00,29.46,11.54,22.51
65-OVER,20.00,5.950,9.090,0.00,33.33,39.25,23.32,31.83
TOTAL,13.33,2.720,6.020,8.330,2.750,19.91,8.750,14.86
