COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
APPLING,0.00,75.00,56.00,0.00,9.000,7.000,0.00,0.00,2.000,0.00,39.00,23.00,0.00,8.000,10.00,0.00,3102.0,2693.0,0.00,692.0,393.0,7109.0
ATKINSON,0.00,15.00,12.00,0.00,1.000,3.000,0.00,3.000,1.000,0.00,57.00,35.00,0.00,0.00,1.000,0.00,1078.0,917.0,0.00,310.0,200.0,2633.0
BACON,0.00,75.00,73.00,0.00,7.000,2.000,0.00,0.00,2.000,0.00,16.00,11.00,0.00,4.000,7.000,1.000,1887.0,1592.0,1.000,267.0,106.0,4051.0
BAKER,0.00,11.00,8.000,0.00,1.000,1.000,0.00,1.000,0.00,0.00,2.000,2.000,0.00,4.000,3.000,0.00,433.0,415.0,0.00,365.0,225.0,1471.0
BALDWIN,2.000,176.0,157.0,0.00,27.00,25.00,0.00,5.000,6.000,0.00,63.00,41.00,0.00,44.00,42.00,6.000,5054.0,4359.0,1.000,4078.0,2225.0,16311.0
BANKS,5.000,120.0,118.0,0.00,15.00,9.000,0.00,1.000,2.000,0.00,37.00,38.00,0.00,17.00,12.00,1.000,3417.0,3155.0,0.00,43.00,49.00,7039.0
BARROW,17.00,961.0,861.0,1.000,92.00,76.00,0.00,8.000,7.000,4.000,510.0,352.0,1.000,157.0,127.0,26.00,12470.0,10697.0,4.000,1860.0,1059.0,29290.0
BARTOW,13.00,1565.0,1467.0,0.00,100.0,96.00,0.00,12.00,12.00,0.00,373.0,317.0,1.000,72.00,70.00,16.00,17298.0,15321.0,2.000,2002.0,1181.0,39918.0
BEN HILL,1.000,52.00,36.00,0.00,12.00,5.000,0.00,0.00,0.00,0.00,34.00,18.00,0.00,13.00,8.000,1.000,2159.0,1876.0,0.00,1235.0,578.0,6028.0
BERRIEN,0.00,96.00,95.00,0.00,6.000,9.000,0.00,2.000,3.000,0.00,30.00,15.00,0.00,9.000,9.000,3.000,3041.0,2787.0,0.00,348.0,218.0,6671.0
