COUNTY NAME,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
APPLING,983.0,873.0,838.0,873.0,945.0,975.0,1020.0,1013.0,2543.0,10063.0
ATKINSON,425.0,321.0,337.0,339.0,373.0,412.0,416.0,357.0,988.0,3968.0
BACON,506.0,492.0,517.0,571.0,536.0,512.0,534.0,557.0,1436.0,5661.0
BAKER,183.0,150.0,152.0,137.0,181.0,221.0,224.0,211.0,535.0,1994.0
BALDWIN,2424.0,2082.0,1915.0,1721.0,1882.0,2233.0,2330.0,2111.0,5404.0,22102.0
BANKS,844.0,708.0,843.0,876.0,955.0,1018.0,929.0,891.0,2314.0,9378.0
BARROW,4471.0,4532.0,4531.0,4233.0,4340.0,4109.0,3906.0,3257.0,7592.0,40971.0
BARTOW,6265.0,5594.0,5421.0,5386.0,6492.0,6477.0,6076.0,5079.0,11725.0,58515.0
BEN HILL,919.0,845.0,746.0,678.0,744.0,824.0,874.0,931.0,2274.0,8835.0
BERRIEN,960.0,888.0,857.0,885.0,966.0,978.0,1021.0,850.0,2496.0,9901.0
BIBB,10610.0,9075.0,8373.0,7572.0,7809.0,8403.0,9072.0,8242.0,20954.0,90110.0
BLECKLEY,617.0,523.0,531.0,517.0,589.0,678.0,692.0,543.0,1720.0,6410.0
BRANTLEY,894.0,773.0,832.0,837.0,974.0,1022.0,968.0,866.0,2201.0,9367.0
BROOKS,948.0,869.0,706.0,694.0,769.0,923.0,1006.0,905.0,2580.0,9400.0
BRYAN,2240.0,2409.0,2589.0,2665.0,2771.0,2623.0,2269.0,1899.0,3747.0,23212.0
BULLOCH,5906.0,4265.0,3339.0,2999.0,3109.0,3240.0,3161.0,2861.0,7082.0,35962.0
BURKE,1448.0,1229.0,1205.0,1120.0,1258.0,1426.0,1479.0,1410.0,2947.0,13522.0
BUTTS,1333.0,1184.0,1126.0,1146.0,1298.0,1443.0,1377.0,1251.0,3016.0,13174.0
CALHOUN,256.0,225.0,237.0,244.0,243.0,277.0,285.0,318.0,737.0,2822.0
CAMDEN,3805.0,3545.0,2947.0,2582.0,3113.0,3358.0,3317.0,2698.0,6388.0,31753.0
CANDLER,519.0,434.0,400.0,435.0,500.0,518.0,502.0,521.0,1421.0,5250.0
CARROLL,7381.0,6442.0,5848.0,5897.0,6434.0,6339.0,6091.0,5190.0,13086.0,62708.0
CATOOSA,3883.0,3656.0,3783.0,3879.0,4246.0,4046.0,3697.0,3470.0,9729.0,40389.0
CHARLTON,641.0,482.0,446.0,451.0,566.0,609.0,653.0,540.0,1363.0,5751.0
CHATHAM,23125.0,21345.0,18148.0,14729.0,15055.0,15486.0,15851.0,14559.0,37394.0,175692.0
CHATTAHOOCHEE,647.0,651.0,505.0,452.0,378.0,315.0,249.0,213.0,408.0,3818.0
CHATTOOGA,1165.0,1011.0,1054.0,1087.0,1216.0,1228.0,1325.0,1155.0,3276.0,12517.0
CHEROKEE,13268.0,13163.0,14427.0,15962.0,17778.0,16405.0,15268.0,12542.0,29716.0,148529.0
CLARKE,11624.0,9649.0,7432.0,5488.0,4801.0,4491.0,4569.0,4546.0,11658.0,64258.0
CLAY,169.0,137.0,146.0,109.0,125.0,138.0,168.0,184.0,609.0,1785.0
CLAYTON,20939.0,17776.0,16428.0,15868.0,16562.0,16412.0,14951.0,12053.0,21847.0,152836.0
CLINCH,394.0,380.0,318.0,339.0,340.0,390.0,400.0,374.0,892.0,3827.0
