COUNTY NAME,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-OVER,TOTAL
APPLING,378.0,458.0,475.0,551.0,614.0,686.0,748.0,772.0,1962.0,6644.0
ATKINSON,177.0,156.0,184.0,193.0,243.0,259.0,264.0,271.0,679.0,2426.0
BACON,204.0,275.0,315.0,384.0,353.0,351.0,388.0,407.0,1077.0,3754.0
BAKER,86.0,76.0,94.0,83.0,131.0,164.0,169.0,167.0,417.0,1387.0
BALDWIN,959.0,1083.0,1111.0,1105.0,1282.0,1610.0,1754.0,1681.0,4249.0,14834.0
BANKS,394.0,432.0,554.0,625.0,672.0,735.0,681.0,681.0,1727.0,6501.0
BARROW,2189.0,2567.0,2888.0,2789.0,2920.0,2782.0,2790.0,2459.0,5732.0,27116.0
BARTOW,2607.0,2788.0,3160.0,3366.0,4286.0,4364.0,4233.0,3702.0,8317.0,36823.0
BEN HILL,349.0,412.0,420.0,412.0,505.0,551.0,618.0,705.0,1697.0,5669.0
BERRIEN,402.0,434.0,474.0,559.0,635.0,627.0,684.0,625.0,1794.0,6234.0
BIBB,4498.0,4517.0,4843.0,4718.0,5194.0,5913.0,6671.0,6270.0,15492.0,58116.0
BLECKLEY,282.0,314.0,364.0,368.0,439.0,547.0,549.0,455.0,1355.0,4673.0
BRANTLEY,370.0,408.0,485.0,514.0,619.0,696.0,670.0,627.0,1575.0,5964.0
BROOKS,358.0,442.0,373.0,433.0,495.0,637.0,709.0,685.0,1860.0,5992.0
BRYAN,848.0,1217.0,1430.0,1545.0,1752.0,1743.0,1621.0,1392.0,2697.0,14245.0
BULLOCH,1844.0,1932.0,1902.0,1885.0,2055.0,2238.0,2238.0,2096.0,5181.0,21371.0
BURKE,623.0,625.0,734.0,731.0,852.0,956.0,1050.0,1048.0,2219.0,8838.0
BUTTS,563.0,673.0,705.0,750.0,907.0,1032.0,1035.0,980.0,2344.0,8989.0
CALHOUN,109.0,118.0,144.0,153.0,174.0,200.0,221.0,252.0,553.0,1924.0
CAMDEN,1178.0,1331.0,1306.0,1351.0,1832.0,2181.0,2258.0,1893.0,4558.0,17888.0
CANDLER,226.0,235.0,253.0,288.0,350.0,361.0,365.0,404.0,1050.0,3532.0
CARROLL,2976.0,3372.0,3428.0,3777.0,4329.0,4430.0,4348.0,3906.0,9743.0,40309.0
CATOOSA,1487.0,1806.0,2141.0,2370.0,2779.0,2713.0,2604.0,2562.0,6807.0,25269.0
CHARLTON,274.0,245.0,247.0,280.0,359.0,424.0,476.0,402.0,1042.0,3749.0
CHATHAM,8543.0,9206.0,9140.0,8359.0,9276.0,10090.0,10980.0,10765.0,28080.0,104439.0
CHATTAHOOCHEE,106.0,114.0,114.0,123.0,148.0,154.0,141.0,136.0,254.0,1290.0
CHATTOOGA,403.0,474.0,609.0,665.0,785.0,814.0,923.0,860.0,2313.0,7846.0
CHEROKEE,6355.0,7797.0,9434.0,11308.0,12954.0,12271.0,11628.0,9764.0,23054.0,104565.0
CLARKE,4721.0,4093.0,3785.0,3133.0,3027.0,2954.0,3174.0,3366.0,8867.0,37120.0
CLAY,64.0,67.0,97.0,64.0,90.0,104.0,130.0,154.0,478.0,1248.0
CLAYTON,7705.0,7612.0,8030.0,8856.0,9999.0,10282.0,9845.0,8361.0,14597.0,85287.0
CLINCH,153.0,190.0,190.0,209.0,230.0,255.0,265.0,249.0,605.0,2346.0
COBB,23711.0,26026.0,29057.0,31354.0,36129.0,36097.0,34294.0,29092.0,62434.0,308194.0
COFFEE,915.0,1015.0,1137.0,1199.0,1295.0,1398.0,1469.0,1399.0,3279.0,13106.0
COLQUITT,823.0,946.0,1069.0,1023.0,1152.0,1300.0,1386.0,1397.0,3732.0,12828.0
COLUMBIA,4134.0,4963.0,5527.0,5887.0,6687.0,6935.0,6775.0,6297.0,13202.0,60407.0
COOK,362.0,416.0,453.0,522.0,543.0,635.0,616.0,542.0,1604.0,5693.0
COWETA,3688.0,4522.0,5199.0,5624.0,7080.0,7084.0,6506.0,5469.0,12732.0,57904.0
CRAWFORD,290.0,302.0,316.0,359.0,469.0,609.0,659.0,534.0,1370.0,4908.0
CRISP,440.0,478.0,500.0,562.0,633.0,681.0,808.0,850.0,2156.0,7108.0
DADE,323.0,438.0,461.0,456.0,502.0,624.0,721.0,684.0,1708.0,5917.0
DAWSON,614.0,697.0,682.0,856.0,1048.0,1206.0,1281.0,1223.0,3495.0,11102.0
DECATUR,621.0,617.0,707.0,807.0,919.0,1068.0,1128.0,1089.0,2687.0,9643.0
DEKALB,27420.0,29949.0,30078.0,28865.0,31465.0,31561.0,30161.0,27090.0,57806.0,294395.0
DODGE,390.0,444.0,509.0,525.0,696.0,719.0,698.0,717.0,1977.0,6675.0
DOOLY,213.0,237.0,269.0,232.0,286.0,371.0,419.0,438.0,1076.0,3541.0
DOUGHERTY,2257.0,2336.0,2542.0,2553.0,2767.0,3148.0,3421.0,3537.0,8697.0,31258.0
DOUGLAS,3618.0,3832.0,5035.0,5793.0,6941.0,6784.0,5932.0,4928.0,10578.0,53441.0
EARLY,289.0,294.0,369.0,377.0,426.0,460.0,491.0,495.0,1330.0,4531.0
ECHOLS,66.0,96.0,80.0,117.0,93.0,134.0,121.0,114.0,276.0,1097.0
EFFINGHAM,1540.0,1892.0,2145.0,2249.0,2582.0,2657.0,2559.0,2128.0,4338.0,22090.0
ELBERT,458.0,454.0,508.0,557.0,675.0,772.0,840.0,886.0,2461.0,7611.0
EMANUEL,528.0,520.0,581.0,568.0,657.0,739.0,830.0,823.0,2170.0,7416.0
EVANS,228.0,215.0,243.0,257.0,292.0,330.0,438.0,352.0,1087.0,3442.0
FANNIN,465.0,493.0,585.0,660.0,828.0,1087.0,1318.0,1504.0,4435.0,11375.0
FAYETTE,2883.0,2897.0,3575.0,4572.0,6208.0,7471.0,7318.0,6654.0,15175.0,56753.0
FLOYD,2136.0,2166.0,2397.0,2713.0,3218.0,3331.0,3688.0,3524.0,9454.0,32627.0
FORSYTH,4138.0,6145.0,8459.0,11289.0,14051.0,12289.0,9716.0,7151.0,18347.0,91585.0
FRANKLIN,505.0,536.0,562.0,606.0,795.0,831.0,903.0,859.0,2450.0,8047.0
FULTON,39333.0,40255.0,40274.0,40478.0,45825.0,43377.0,39763.0,33850.0,75501.0,398656.0
GILMER,524.0,554.0,633.0,808.0,942.0,1183.0,1371.0,1577.0,4653.0,12245.0
GLASCOCK,86.0,81.0,100.0,130.0,136.0,138.0,156.0,122.0,345.0,1294.0
GLYNN,1728.0,1950.0,2228.0,2333.0,2940.0,3282.0,3626.0,3851.0,10867.0,32805.0
GORDON,1097.0,1252.0,1451.0,1704.0,1986.0,1939.0,1909.0,1796.0,4566.0,17700.0
GRADY,527.0,620.0,579.0,677.0,780.0,973.0,1018.0,921.0,2654.0,8749.0
GREENE,389.0,452.0,494.0,457.0,564.0,704.0,844.0,1053.0,3681.0,8638.0
GWINNETT,21412.0,23942.0,28752.0,32043.0,38741.0,39301.0,35554.0,28590.0,52874.0,301209.0
HABERSHAM,885.0,922.0,1060.0,1210.0,1387.0,1493.0,1619.0,1701.0,5015.0,15292.0
HALL,4548.0,4511.0,4915.0,5426.0,6732.0,7152.0,7001.0,6774.0,18477.0,65536.0
HANCOCK,209.0,170.0,218.0,173.0,278.0,397.0,387.0,454.0,1135.0,3421.0
HARALSON,705.0,780.0,790.0,999.0,1227.0,1189.0,1099.0,1014.0,2848.0,10651.0
HARRIS,830.0,923.0,1103.0,1348.0,1718.0,1915.0,1860.0,1832.0,4039.0,15568.0
HART,507.0,496.0,587.0,651.0,826.0,999.0,1053.0,1088.0,3445.0,9652.0
HEARD,237.0,244.0,257.0,373.0,398.0,438.0,526.0,448.0,1054.0,3975.0
HENRY,6061.0,6618.0,8594.0,10433.0,12114.0,11838.0,9971.0,8083.0,17094.0,90806.0
HOUSTON,3896.0,4672.0,5037.0,4997.0,5611.0,6901.0,6837.0,5692.0,12658.0,56301.0
IRWIN,190.0,250.0,262.0,265.0,346.0,366.0,348.0,392.0,1030.0,3449.0
JACKSON,1666.0,1963.0,2582.0,2572.0,2973.0,2771.0,2633.0,2356.0,6081.0,25597.0
JASPER,335.0,415.0,398.0,475.0,535.0,662.0,680.0,635.0,1571.0,5706.0
JEFF DAVIS,288.0,336.0,350.0,410.0,473.0,522.0,530.0,533.0,1327.0,4769.0
JEFFERSON,443.0,407.0,450.0,478.0,583.0,715.0,695.0,783.0,1955.0,6509.0
JENKINS,197.0,166.0,213.0,206.0,251.0,270.0,347.0,341.0,893.0,2884.0
JOHNSON,220.0,220.0,261.0,255.0,312.0,381.0,411.0,392.0,993.0,3445.0
JONES,664.0,787.0,1037.0,1043.0,1274.0,1336.0,1346.0,1235.0,3123.0,11845.0
LAMAR,487.0,483.0,497.0,613.0,685.0,737.0,797.0,805.0,2038.0,7142.0
LANIER,193.0,234.0,221.0,224.0,257.0,309.0,337.0,284.0,666.0,2725.0
LAURENS,1143.0,1238.0,1570.0,1559.0,1786.0,1918.0,2011.0,1992.0,5194.0,18411.0
LEE,855.0,1106.0,1362.0,1442.0,1643.0,1442.0,1502.0,1351.0,2616.0,13319.0
LIBERTY,1100.0,1199.0,1277.0,1303.0,1564.0,1905.0,2008.0,1710.0,3164.0,15230.0
LINCOLN,245.0,196.0,218.0,274.0,292.0,410.0,465.0,473.0,1285.0,3858.0
LONG,318.0,385.0,364.0,413.0,414.0,461.0,435.0,395.0,650.0,3835.0
LOWNDES,2691.0,2932.0,2904.0,2869.0,3439.0,3729.0,3818.0,3567.0,8607.0,34556.0
LUMPKIN,729.0,733.0,796.0,856.0,980.0,1120.0,1376.0,1363.0,3471.0,11424.0
MCDUFFIE,594.0,687.0,643.0,708.0,816.0,970.0,986.0,964.0,2463.0,8831.0
MCINTOSH,349.0,331.0,332.0,360.0,464.0,535.0,639.0,706.0,1918.0,5634.0
MACON,282.0,248.0,263.0,304.0,315.0,450.0,491.0,551.0,1183.0,4087.0
MADISON,723.0,812.0,870.0,965.0,1095.0,1306.0,1246.0,1243.0,2958.0,11218.0
MARION,177.0,202.0,180.0,197.0,244.0,349.0,331.0,303.0,819.0,2802.0
