CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,121.0,8867.0,7516.0,2.0,1219.0,797.0,1.0,95.0,110.0,6.0,2212.0,1589.0,7.0,1117.0,799.0,95.0,96307.0,81897.0,33.0,45505.0,25135.0,273430.0
Congressional District 2,58.0,3856.0,3097.0,3.0,737.0,488.0,1.0,63.0,48.0,4.0,1231.0,833.0,1.0,696.0,508.0,33.0,63885.0,55344.0,56.0,78084.0,41461.0,250487.0
Congressional District 3,110.0,11310.0,9709.0,10.0,1337.0,972.0,2.0,82.0,61.0,8.0,2552.0,1856.0,4.0,1383.0,1002.0,131.0,119643.0,103864.0,39.0,40362.0,23211.0,317648.0
Congressional District 4,181.0,11034.0,8323.0,7.0,2732.0,1755.0,2.0,150.0,105.0,13.0,3403.0,2258.0,7.0,3004.0,2815.0,38.0,50417.0,42031.0,79.0,111107.0,64271.0,303732.0
Congressional District 5,204.0,16856.0,13819.0,6.0,2445.0,1785.0,1.0,99.0,89.0,7.0,2904.0,2308.0,13.0,2712.0,2308.0,85.0,53546.0,51452.0,77.0,100124.0,57813.0,308653.0
Congressional District 6,230.0,16376.0,14463.0,10.0,3374.0,2747.0,0.0,148.0,135.0,18.0,5418.0,3871.0,31.0,7732.0,7023.0,151.0,127347.0,112955.0,18.0,22323.0,14161.0,338531.0
Congressional District 7,527.0,16708.0,14126.0,32.0,3489.0,2668.0,2.0,212.0,181.0,60.0,9875.0,6776.0,77.0,8667.0,8319.0,222.0,92283.0,81242.0,134.0,34676.0,20885.0,301161.0
Congressional District 8,95.0,4687.0,4199.0,5.0,848.0,607.0,2.0,87.0,67.0,3.0,1653.0,1127.0,3.0,1085.0,823.0,78.0,99224.0,86680.0,41.0,44199.0,23702.0,269215.0
Congressional District 9,119.0,9145.0,8672.0,3.0,668.0,571.0,0.0,108.0,85.0,15.0,3566.0,2805.0,5.0,807.0,607.0,138.0,138495.0,122322.0,3.0,9102.0,5148.0,302384.0
Congressional District 10,159.0,11579.0,10112.0,7.0,1282.0,963.0,0.0,100.0,88.0,13.0,2843.0,1995.0,10.0,1553.0,1146.0,159.0,119254.0,104592.0,47.0,41489.0,23275.0,320666.0
Congressional District 11,168.0,10760.0,9808.0,17.0,2400.0,1712.0,0.0,141.0,142.0,19.0,5644.0,4066.0,13.0,2580.0,2129.0,127.0,133410.0,116560.0,41.0,29658.0,17440.0,336835.0
Congressional District 12,261.0,7943.0,6461.0,11.0,1107.0,762.0,0.0,73.0,90.0,5.0,1884.0,1312.0,6.0,1347.0,1030.0,111.0,90029.0,77519.0,183.0,52630.0,29517.0,272281.0
Congressional District 13,161.0,12207.0,8561.0,6.0,2620.0,1622.0,0.0,102.0,80.0,9.0,4696.0,3108.0,9.0,1794.0,1501.0,50.0,50225.0,42602.0,127.0,112360.0,64170.0,306010.0
Congressional District 14,65.0,9165.0,8111.0,4.0,653.0,551.0,0.0,66.0,52.0,6.0,3677.0,2900.0,2.0,601.0,415.0,95.0,115365.0,99740.0,10.0,12060.0,7078.0,260616.0
TOTAL,2459.0,150493.0,126977.0,123.0,24911.0,18000.0,11.0,1526.0,1333.0,186.0,51558.0,36804.0,188.0,35078.0,30425.0,1513.0,1349430.0,1178800.0,888.0,733679.0,417267.0,4161649.0
