COUNTY NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
APPLING,39.13,49.30,37.58,33.33,30.77,68.43,46.95,63.38
ATKINSON,50.00,55.19,42.20,80.00,30.77,62.54,34.18,59.42
BACON,57.89,41.10,39.13,66.67,39.13,69.66,50.17,64.15
BAKER,70.00,60.08,26.67,100.0,25.00,74.00,59.38,67.05
BALDWIN,46.74,61.86,62.65,47.83,41.60,69.20,47.38,65.23
BANKS,34.94,47.18,47.77,37.50,60.00,70.02,51.37,68.06
BARROW,33.85,58.88,56.09,60.00,50.00,68.24,48.99,64.44
BARTOW,42.31,51.19,51.38,43.64,46.89,64.82,46.83,61.20
BEN HILL,48.84,53.29,41.27,0.00,60.71,68.26,41.20,61.96
BERRIEN,52.94,50.76,37.19,45.45,30.61,63.55,45.69,61.07
BIBB,51.52,58.27,49.02,42.47,45.22,69.63,44.80,62.24
BLECKLEY,55.26,56.97,52.94,100.0,72.73,74.63,59.02,70.47
BRANTLEY,53.33,57.50,34.78,50.00,44.12,63.00,37.68,61.62
BROOKS,47.83,55.32,45.54,44.44,43.55,67.60,52.42,61.87
BRYAN,43.52,54.83,47.99,57.14,46.15,61.88,50.84,59.21
BULLOCH,45.51,48.71,52.64,38.46,41.49,64.20,46.40,58.35
BURKE,48.84,62.01,48.05,50.00,43.94,67.06,39.48,63.20
BUTTS,63.89,59.32,58.18,33.33,35.35,69.76,54.82,65.87
CALHOUN,66.67,61.07,40.00,0.00,100.0,74.68,40.54,65.97
CAMDEN,44.27,52.41,41.04,50.00,37.78,57.92,46.37,54.51
CANDLER,43.48,53.75,44.92,100.0,46.15,72.48,43.07,65.70
CARROLL,47.67,54.23,51.71,53.33,43.15,67.04,50.32,62.78
CATOOSA,38.13,48.31,48.25,37.93,37.19,62.46,52.23,60.69
CHARLTON,65.38,57.32,38.89,33.33,60.00,67.93,53.26,64.19
CHATHAM,44.26,54.14,41.59,35.64,42.47,62.25,43.89,57.10
CHATTAHOOCHEE,19.18,36.66,13.33,50.00,12.64,34.46,24.77,32.48
CHATTOOGA,50.00,54.08,31.68,16.67,38.60,63.18,43.05,60.61
CHEROKEE,56.47,60.25,58.82,63.49,59.07,71.04,57.14,68.65
CLARKE,54.91,54.23,55.97,73.33,52.50,62.83,49.65,58.71
CLAY,75.00,59.04,50.00,0.00,50.00,79.48,62.07,67.66
CLAYTON,37.44,54.88,47.92,36.71,43.42,59.00,41.83,53.46
CLINCH,40.00,48.21,52.38,0.00,27.27,65.65,41.89,59.20
COBB,59.89,60.50,60.56,55.59,58.90,71.59,45.00,66.04
COFFEE,53.85,51.05,45.44,55.56,28.23,65.09,44.50,60.12
COLQUITT,37.89,42.39,37.03,29.41,43.97,65.49,41.48,57.77
COLUMBIA,56.76,64.50,57.12,64.41,53.34,66.90,50.13,64.31
COOK,40.48,54.48,36.04,50.00,37.50,68.33,41.97,63.13
COWETA,51.24,58.92,55.80,59.38,51.32,69.10,55.93,65.75
CRAWFORD,47.06,63.77,27.03,66.67,31.43,68.90,45.20,66.43
CRISP,37.50,46.09,47.22,75.00,28.89,70.85,43.41,59.42
DADE,34.88,39.06,31.03,50.00,44.44,58.32,49.90,57.19
DAWSON,50.00,31.94,53.37,46.15,65.15,72.30,59.50,71.01
DECATUR,42.37,52.41,43.00,30.00,48.15,66.24,44.48,59.82
DEKALB,56.11,56.79,55.59,47.25,51.09,70.33,48.52,60.36
DODGE,47.06,53.15,43.64,60.00,20.83,68.03,41.97,63.24
DOOLY,32.26,54.59,21.28,100.0,62.50,68.97,47.92,60.57
