CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,40.88,47.82,40.51,28.57,43.00,38.08,50.00,44.60,44.35,46.15,41.88,38.74,87.50,45.13,41.68,64.19,63.25,62.53,38.82,58.98,44.58,57.74
Congressional District 2,20.28,47.81,36.60,25.00,40.43,34.34,100.0,39.62,36.36,40.00,40.47,33.58,25.00,43.20,38.28,42.31,64.89,64.44,10.49,59.81,44.60,57.28
TOTAL,46.89,54.54,45.93,49.00,53.62,48.79,57.89,50.48,50.78,53.60,57.18,49.32,54.49,53.89,51.81,64.58,68.46,67.25,36.13,62.14,48.44,62.05
Congressional District 4,51.27,52.37,40.39,50.00,53.10,47.19,66.67,48.39,46.26,56.52,57.04,49.22,43.75,54.66,53.29,71.70,69.59,67.36,57.25,65.08,51.51,60.34
Congressional District 5,30.91,52.27,41.45,28.57,49.45,42.96,50.00,36.80,36.93,35.00,55.21,49.05,39.39,51.70,46.84,66.93,64.96,62.82,28.62,56.63,41.29,53.44
Congressional District 6,59.59,57.61,52.39,37.04,61.06,58.17,0.00,63.25,56.72,54.55,63.82,56.88,54.39,61.69,60.22,63.18,71.76,69.96,47.37,60.07,51.19,66.28
Congressional District 7,66.62,58.09,50.47,56.14,59.24,55.26,50.00,56.99,56.21,60.61,62.15,52.95,56.62,52.25,51.28,70.93,71.02,69.16,63.81,64.69,54.17,63.96
Congressional District 8,43.58,49.39,41.48,45.45,47.77,44.70,100.0,48.88,50.00,50.00,47.43,41.40,50.00,51.01,48.73,57.78,67.36,67.28,33.33,60.98,46.90,62.21
Congressional District 9,61.98,59.41,53.45,75.00,54.44,49.39,0.00,61.36,54.84,57.69,55.85,45.83,71.43,47.53,42.99,66.99,70.45,69.74,30.00,61.50,46.62,67.46
Congressional District 10,61.15,59.05,50.75,77.78,57.51,49.90,0.00,61.73,61.54,54.17,61.48,52.65,62.50,52.43,47.43,75.00,71.79,70.08,61.84,66.40,51.83,66.65
Congressional District 11,54.72,53.79,47.43,60.71,59.45,53.90,0.00,51.46,58.68,67.86,61.57,54.26,86.67,57.53,55.73,64.47,70.81,68.72,50.62,62.33,51.44,65.59
Congressional District 12,33.98,49.78,40.32,50.00,47.27,45.12,0.00,40.11,56.25,26.32,50.55,43.56,33.33,53.45,51.65,53.88,66.54,65.53,33.46,61.84,48.98,60.76
Congressional District 13,38.80,55.82,42.80,40.00,54.58,47.83,0.00,50.00,50.00,45.00,59.98,50.27,47.37,50.06,49.20,56.18,67.76,66.12,50.20,66.24,53.30,61.15
Congressional District 14,63.73,54.25,46.36,66.67,48.62,47.17,0.00,47.83,48.15,54.55,56.60,47.13,100.0,49.67,43.14,67.38,65.38,64.89,50.00,61.70,49.94,62.63
