ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,4.05,13.36,3.33,5.79,6.90,19.92,7.95,16.36
2014 Primary Runoff,2.27,5.90,1.81,3.97,3.86,14.52,4.77,10.66
2014 General,22.40,40.60,21.84,24.28,28.37,47.46,29.43,42.90
2016 Presidential Primary,15.00,25.42,19.74,18.73,21.03,39.83,22.08,32.95
2016 Primary,3.38,13.71,3.52,6.36,5.54,19.50,6.83,15.90
2016 Primary Runoff,0.75,3.02,0.64,1.58,1.43,5.33,1.75,4.11
2016 General,52.87,56.22,53.58,50.46,51.38,67.87,50.16,61.99
2018 Primary,7.60,17.03,6.76,7.33,10.04,20.43,9.45,17.54
2018 Primary Runoff,4.08,5.01,2.46,4.62,4.68,16.64,5.18,11.20
2018 General,44.38,53.83,43.13,39.16,47.90,62.16,40.02,56.32
