AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,5.65,13.63,10.96,20.00,11.03,21.48,11.34,17.29
25-29,6.74,16.03,9.31,50.00,16.67,20.71,17.27,18.63
30-34,10.77,24.46,14.07,0.00,24.36,30.94,20.50,27.38
35-39,14.67,33.44,16.15,0.00,20.00,36.95,26.68,33.56
40-44,9.52,37.41,14.71,88.89,27.03,47.02,31.78,42.42
45-49,22.11,40.39,23.73,33.33,32.50,51.77,29.81,46.87
50-54,22.67,46.79,22.19,33.33,24.24,56.28,36.83,52.13
55-59,40.00,49.23,21.43,0.00,41.38,61.35,41.05,57.38
60-64,26.67,57.80,22.34,50.00,39.53,67.55,49.35,64.25
65-OVER,25.38,53.43,30.71,50.00,57.14,69.96,60.26,67.84
TOTAL,17.82,36.47,15.79,36.36,26.28,51.35,30.43,45.83
