AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,5.88,0.00,0.00,50.00,13.87,7.21,12.18
25-29,33.33,6.19,0.00,0.00,33.33,13.31,11.27,12.27
30-34,0.00,10.29,0.00,0.00,0.00,26.81,15.07,23.98
35-39,0.00,15.15,0.00,0.00,0.00,32.61,20.69,29.74
40-44,0.00,21.15,0.00,0.00,0.00,36.37,28.57,34.66
45-49,0.00,29.73,25.00,0.00,0.00,41.20,17.91,38.18
50-54,0.00,38.04,100.0,0.00,33.33,43.50,15.00,41.23
55-59,0.00,39.33,0.00,100.0,0.00,45.40,22.22,43.10
60-64,0.00,50.00,0.00,0.00,0.00,53.63,34.38,52.30
65-OVER,33.33,48.00,50.00,100.0,0.00,60.74,41.67,58.94
TOTAL,9.52,29.54,10.91,50.00,16.00,41.03,20.06,38.31
