AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,8.89,0.00,0.00,0.00,9.71,4.55,8.74
25-29,0.00,10.46,0.00,0.00,0.00,14.88,13.33,13.00
30-34,0.00,16.07,0.00,0.00,0.00,21.43,9.09,18.94
35-39,100.0,15.29,0.00,0.00,0.00,32.97,13.33,26.64
40-44,0.00,12.12,25.00,0.00,0.00,31.00,21.74,24.54
45-49,0.00,21.98,0.00,0.00,0.00,29.48,13.33,26.67
50-54,100.0,29.55,0.00,0.00,0.00,35.37,23.53,33.00
55-59,0.00,34.75,0.00,0.00,0.00,37.02,15.38,35.62
60-64,0.00,36.05,0.00,0.00,0.00,47.33,31.25,43.60
65-OVER,50.00,36.18,0.00,0.00,0.00,48.76,36.00,45.88
TOTAL,33.33,22.10,7.69,0.00,0.00,34.23,17.22,29.74
