AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,30.77,6.06,0.00,0.00,16.04,14.29,17.38
25-29,0.00,13.59,20.00,0.00,0.00,20.68,0.00,18.23
30-34,0.00,15.71,25.00,0.00,0.00,21.67,0.00,20.31
35-39,0.00,33.33,8.33,0.00,0.00,37.30,0.00,34.86
40-44,0.00,59.32,11.11,0.00,100.0,38.31,16.67,40.36
45-49,0.00,52.70,15.00,0.00,0.00,39.04,0.00,39.59
50-54,0.00,45.74,0.00,0.00,0.00,42.47,0.00,41.96
55-59,0.00,54.55,11.11,0.00,0.00,47.65,20.00,47.96
60-64,0.00,61.11,20.00,0.00,100.0,55.52,50.00,56.22
65-OVER,100.0,52.30,50.00,0.00,0.00,60.86,18.18,58.77
TOTAL,100.0,42.24,11.93,0.00,18.18,41.82,11.48,40.18
