COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
BACON,64.18,0,51.72,48.99,0,50,22.22,0,0,66.67,0,45.71,32.35,0,44.44,70,50,70.7,68.5,100,47.34,30.90
BRANTLEY,61.62,50,41.08,34.8,0,42.11,46.67,0,50,50,0,33.33,36.36,0,50,60,0,63.43,62.52,0,63.91,47.75
BRYAN,59.21,45.45,54.86,46.95,100,50.97,39.32,0,35.29,72,0,47.99,48.16,0,43.93,42.97,55.56,61.68,62.12,75,58.73,49.52
CAMDEN,54.51,57.14,47.81,44.82,0,40.91,33.33,0,50,50,0,40.68,41.55,0,49.26,35.83,55.56,56.64,59.45,100,56.31,47.12
CHARLTON,64.19,0,58.15,49.24,0,63.64,50,0,50,25,0,27.27,57.14,0,44.44,76.47,66.67,67.76,68.13,0,63.38,49.20
CHATHAM,57.16,37.75,48.09,39.89,20,45.06,39.5,0,43.53,29.91,28.57,44.37,38.2,80,46.05,42.21,69.49,63.61,60.73,34.62,61.77,44.28
CLINCH,59.26,33.33,51.65,35.16,0,28.57,25,0,0,0,0,54.55,55.56,0,42.86,33.33,100,64.77,66.64,0,54.53,39.25
ECHOLS,62.83,0,58.97,36.36,0,60,71.43,0,0,66.67,0,45.9,38.64,0,33.33,0,100,67.78,64.71,0,56.67,38.10
EFFINGHAM,63.35,27.27,53.65,45.57,0,47.37,51.06,0,75,60,0,59.15,56.34,0,41.49,50,44.44,67.4,64.72,50,63.85,51.93
GLYNN,59.87,48.39,51.72,46.18,0,45.31,40.54,0,42.86,56.25,100,43.28,41.23,100,46.67,43.98,70.83,65.8,64.33,42.86,55.62,41.16
LIBERTY,46.25,45.45,33.74,24.93,0,33.33,30.08,0,36.84,40,0,34.51,31.6,100,40.54,32.38,133.33,48.46,53.04,40,52.14,45.03
LONG,49.92,50,39.9,34.5,0,36.21,38.1,0,71.43,66.67,0,34.45,35.33,0,35,36.67,0,53.29,55.94,100,51.12,43.93
LOWNDES,47.34,66.67,23.4,26,0,37.93,24.14,0,50,100,0,25,29.55,0,47.83,20,0,50.45,50.98,0,56.6,40.72
MCINTOSH,65.34,0,58.89,51.8,0,32.14,41.18,0,50,33.33,0,37.14,50,0,58.33,29.41,0,66.82,67.44,100,70.03,57.22
PIERCE,65.26,100,52.15,42,0,53.33,58.82,100,66.67,83.33,0,42.22,50,100,50,50,50,67.66,69.4,0,56.96,42.13
WARE,61.45,57.14,39.73,28.54,0,40.35,46.88,0,16.67,61.54,0,52.5,46.15,0,38.98,55.81,62.5,67.89,68.95,0,53.94,42.55
TOTAL,57.74,40.88,47.82,40.51,28.57,43.0,38.08,50.0,44.6,44.35,46.15,41.88,38.74,87.5,45.13,41.68,64.19,63.25,62.53,38.82,58.98,44.58
