COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
BIBB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARROLL,62.78,41.38,54.59,46.06,33.33,47.54,37.36,0,50,60,0,55.6,47.13,0,49.74,45.16,69.7,67.42,66.63,66.67,59.57,46.76
COWETA,65.75,38.3,58.9,53.1,33.33,55.41,47.09,0,73.33,47.06,42.86,58.53,52.48,50,55.14,45.94,69.64,69.75,68.39,52.38,64.17,51.61
FAYETTE,70.28,69.39,63.86,58.47,50,63.8,59.31,0,55.17,61.11,66.67,65.06,61.05,75,61.53,56.92,52.17,73.28,71.46,71.43,74.28,66.24
HARRIS,68.41,83.33,62.04,58.15,0,50,49.38,0,100,75,0,53.76,57.69,0,60.61,58.18,66.67,71.15,69.5,100,69.94,56.55
HEARD,61.67,0,40,41.67,0,46.67,10,0,60,100,0,52.63,50,0,75,30,100,62.22,65.34,0,61.07,44.48
HENRY,62.43,87.5,58.17,47.74,50,53.71,43.37,0,50,50,0,54.71,47.09,0,49.64,42.51,90.91,67.31,65.43,60,66.88,55.69
LAMAR,64.5,100,53.26,46.9,0,43.24,48.39,0,50,0,0,53.12,36.36,0,52.94,62.5,0,68.26,68.43,0,65.29,49.73
MERIWETHER,62.74,0,54.76,35.44,0,58.82,47.37,0,42.86,50,0,56.25,28.57,0,50,62.5,66.67,67.92,68.12,0,65.12,47.95
MUSCOGEE,60.02,45.45,48.09,45.86,0,48.99,47.67,0,50,50,0,47.44,46.28,0,46.48,44.07,40,64.46,63.32,33.33,57.65,45.59
PIKE,71.14,50,61.46,54.18,0,57.58,64.71,0,100,50,0,75,42.31,0,60.87,66.67,0,74.02,72.73,0,69.95,53.51
SPALDING,60.69,50,52.62,39.19,200,39.1,41.67,100,25,53.85,0,49.66,41.9,0,52.14,46.91,77.78,66.87,65.29,40,60.54,43.32
TROUP,59.62,34.78,51.37,44.43,66.67,41.51,35.38,100,54.55,40,0,48.88,48.5,0,45.67,43.66,69.23,66.02,64.86,0,58.89,40.96
TOTAL,64.39,52.38,57.66,50.04,55.56,52.51,46.53,100.0,53.95,53.04,53.33,56.41,50.63,50.0,54.19,49.12,65.83,68.83,67.73,52.7,64.02,50.63
