-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,48.99,51.72,0.0,50.34
OTHER,22.22,50.0,0.0,39.13
NATIVE-AM,66.67,0.0,0.0,66.67
HISP-LT,32.35,45.71,0.0,39.13
ASIA-PI,70.0,44.44,0.0,57.89
WHITE,68.5,70.7,50.0,69.67
BLACK,30.9,47.34,100.0,41.19
TOTAL,62.43,65.66,66.67,64.19
