COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
BIBB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARROLL,44676.0,12.0,1759.0,1469.0,1.0,174.0,99.0,0.0,15.0,9.0,0.0,308.0,222.0,0.0,94.0,70.0,23.0,18095.0,15647.0,6.0,4275.0,2398.0
COWETA,62526.0,18.0,2602.0,2273.0,1.0,205.0,162.0,0.0,11.0,8.0,3.0,662.0,466.0,1.0,268.0,164.0,39.0,24985.0,22045.0,11.0,5472.0,3130.0
FAYETTE,51170.0,34.0,2760.0,2412.0,1.0,282.0,223.0,0.0,16.0,11.0,4.0,553.0,406.0,3.0,467.0,358.0,24.0,19053.0,16657.0,10.0,4650.0,3246.0
HARRIS,16708.0,5.0,389.0,378.0,0.0,42.0,40.0,0.0,3.0,3.0,0.0,100.0,75.0,0.0,60.0,32.0,4.0,6919.0,6296.0,2.0,1380.0,980.0
HEARD,4260.0,0.0,38.0,60.0,0.0,7.0,1.0,0.0,3.0,3.0,0.0,10.0,10.0,0.0,9.0,3.0,2.0,1922.0,1800.0,0.0,251.0,141.0
HENRY,29235.0,14.0,1438.0,1035.0,1.0,304.0,206.0,0.0,6.0,2.0,0.0,372.0,267.0,0.0,136.0,105.0,10.0,7243.0,6260.0,6.0,7464.0,4366.0
LAMAR,7678.0,2.0,188.0,174.0,0.0,16.0,15.0,0.0,1.0,0.0,0.0,17.0,8.0,0.0,9.0,10.0,0.0,2938.0,2564.0,0.0,1089.0,647.0
MERIWETHER,9305.0,0.0,213.0,140.0,0.0,20.0,9.0,0.0,3.0,1.0,0.0,18.0,8.0,0.0,7.0,10.0,2.0,2992.0,2692.0,0.0,2041.0,1149.0
MUSCOGEE,19832.0,5.0,453.0,427.0,0.0,121.0,92.0,0.0,10.0,11.0,0.0,241.0,205.0,0.0,178.0,130.0,6.0,8470.0,6699.0,1.0,1734.0,1049.0
PIKE,8804.0,1.0,228.0,240.0,0.0,19.0,11.0,0.0,3.0,2.0,0.0,21.0,11.0,0.0,14.0,6.0,0.0,3960.0,3565.0,0.0,426.0,297.0
SPALDING,25996.0,9.0,512.0,437.0,2.0,61.0,50.0,1.0,3.0,7.0,0.0,146.0,88.0,0.0,73.0,38.0,7.0,9370.0,8067.0,2.0,4756.0,2367.0
TROUP,26386.0,8.0,486.0,463.0,4.0,66.0,46.0,1.0,6.0,4.0,0.0,87.0,81.0,0.0,58.0,62.0,9.0,9491.0,8006.0,0.0,5053.0,2455.0
UPSON,11072.0,2.0,244.0,201.0,0.0,20.0,18.0,0.0,2.0,0.0,1.0,17.0,9.0,0.0,10.0,14.0,5.0,4205.0,3566.0,1.0,1771.0,986.0
TOTAL,317648.0,110.0,11310.0,9709.0,10.0,1337.0,972.0,2.0,82.0,61.0,8.0,2552.0,1856.0,4.0,1383.0,1002.0,131.0,119643.0,103864.0,39.0,40362.0,23211.0
