COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
ATKINSON,4422.0,2.0,41.0,36.0,0.0,4.0,9.0,0.0,4.0,1.0,1.0,129.0,88.0,0.0,0.0,2.0,0.0,1713.0,1471.0,1.0,527.0,393.0
BEN HILL,9728.0,1.0,110.0,105.0,0.0,17.0,11.0,0.0,1.0,0.0,0.0,70.0,56.0,0.0,23.0,20.0,1.0,3191.0,2721.0,0.0,2103.0,1298.0
BERRIEN,10916.0,3.0,196.0,219.0,0.0,20.0,29.0,0.0,7.0,4.0,0.0,69.0,52.0,0.0,14.0,20.0,4.0,4870.0,4294.0,0.0,634.0,481.0
BIBB,32105.0,17.0,707.0,676.0,0.0,164.0,138.0,0.0,16.0,14.0,1.0,190.0,121.0,2.0,262.0,292.0,8.0,11860.0,9611.0,3.0,4955.0,3068.0
BLECKLEY,7132.0,2.0,103.0,100.0,0.0,13.0,9.0,0.0,2.0,1.0,0.0,21.0,12.0,0.0,15.0,23.0,3.0,2849.0,2569.0,1.0,865.0,544.0
BROOKS,10298.0,0.0,266.0,291.0,0.0,31.0,31.0,0.0,3.0,6.0,0.0,67.0,45.0,0.0,14.0,9.0,2.0,3087.0,2706.0,0.0,2157.0,1583.0
COLQUITT,23697.0,16.0,531.0,545.0,0.0,88.0,53.0,0.0,10.0,7.0,0.0,393.0,355.0,0.0,50.0,45.0,4.0,8612.0,7393.0,1.0,3220.0,2374.0
COOK,9714.0,0.0,128.0,177.0,0.0,33.0,23.0,0.0,3.0,3.0,0.0,67.0,44.0,0.0,22.0,20.0,1.0,3508.0,3093.0,0.0,1559.0,1033.0
DODGE,11171.0,1.0,148.0,156.0,0.0,12.0,12.0,0.0,3.0,2.0,0.0,31.0,24.0,0.0,19.0,15.0,3.0,4150.0,3754.0,0.0,1710.0,1131.0
HOUSTON,100040.0,73.0,3030.0,3320.0,8.0,603.0,420.0,2.0,61.0,34.0,2.0,1179.0,874.0,2.0,1006.0,702.0,41.0,31910.0,28339.0,74.0,16669.0,11691.0
IRWIN,5573.0,2.0,34.0,57.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,20.0,24.0,0.0,8.0,6.0,2.0,2117.0,1899.0,0.0,843.0,551.0
JONES,18276.0,9.0,114.0,136.0,1.0,20.0,18.0,0.0,9.0,9.0,0.0,57.0,36.0,1.0,51.0,29.0,4.0,6969.0,6189.0,2.0,2623.0,1999.0
LANIER,5176.0,2.0,181.0,175.0,0.0,20.0,17.0,0.0,6.0,1.0,0.0,41.0,23.0,0.0,16.0,9.0,1.0,1958.0,1622.0,0.0,623.0,481.0
LOWNDES,64309.0,27.0,1652.0,1709.0,2.0,437.0,319.0,0.0,31.0,29.0,0.0,550.0,420.0,1.0,344.0,237.0,18.0,19626.0,17048.0,13.0,13005.0,8841.0
MONROE,18541.0,21.0,489.0,544.0,0.0,51.0,58.0,0.0,3.0,3.0,0.0,55.0,48.0,0.0,54.0,38.0,6.0,6953.0,6342.0,4.0,2202.0,1670.0
PULASKI,5628.0,0.0,73.0,59.0,0.0,9.0,11.0,0.0,1.0,0.0,0.0,10.0,17.0,0.0,13.0,11.0,0.0,2040.0,1819.0,0.0,917.0,648.0
TELFAIR,5900.0,2.0,65.0,75.0,0.0,8.0,5.0,0.0,1.0,1.0,0.0,21.0,15.0,0.0,10.0,9.0,1.0,1952.0,1802.0,1.0,1126.0,806.0
THOMAS,30714.0,5.0,853.0,792.0,0.0,87.0,65.0,0.0,10.0,5.0,1.0,125.0,98.0,0.0,67.0,76.0,16.0,9983.0,8596.0,9.0,5886.0,4040.0
TIFT,23524.0,22.0,352.0,400.0,0.0,73.0,63.0,0.0,2.0,2.0,1.0,285.0,292.0,0.0,92.0,90.0,12.0,8235.0,7012.0,10.0,3953.0,2628.0
TURNER,5574.0,3.0,60.0,84.0,0.0,12.0,7.0,0.0,0.0,4.0,0.0,23.0,17.0,0.0,10.0,12.0,2.0,1697.0,1519.0,1.0,1236.0,887.0
TWIGGS,6314.0,4.0,120.0,138.0,0.0,18.0,6.0,0.0,1.0,2.0,0.0,24.0,13.0,0.0,9.0,4.0,2.0,1701.0,1562.0,1.0,1440.0,1269.0
WILCOX,4662.0,1.0,18.0,27.0,0.0,7.0,4.0,0.0,2.0,3.0,0.0,20.0,22.0,0.0,5.0,6.0,1.0,1668.0,1492.0,0.0,799.0,587.0
WILKINSON,6215.0,1.0,55.0,85.0,0.0,8.0,11.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,6.0,5.0,0.0,1801.0,1633.0,1.0,1483.0,1118.0
WORTH,13110.0,4.0,163.0,217.0,0.0,35.0,34.0,0.0,2.0,2.0,0.0,33.0,24.0,0.0,17.0,9.0,3.0,4848.0,4351.0,1.0,1952.0,1415.0
TOTAL,432739.0,218.0,9489.0,10123.0,11.0,1775.0,1358.0,2.0,178.0,134.0,6.0,3485.0,2722.0,6.0,2127.0,1689.0,135.0,147298.0,128837.0,123.0,72487.0,50536.0
