-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,37.09,58.59,0.0,46.95
OTHER,28.0,33.33,0.0,30.77
NATIVE-AM,33.33,0.0,0.0,33.33
HISP-LT,30.67,43.33,0.0,37.58
ASIA-PI,41.67,36.36,0.0,39.13
WHITE,68.09,68.75,0.0,68.43
BLACK,41.28,55.49,0.0,49.34
TOTAL,61.37,65.13,0.0,63.39
