-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,45.56,57.42,0.0,50.85
OTHER,45.0,75.0,0.0,60.0
NATIVE-AM,100.0,16.67,0.0,37.5
HISP-LT,42.7,54.41,0.0,47.77
ASIA-PI,30.77,38.64,0.0,34.94
WHITE,70.06,70.01,33.33,70.02
BLACK,44.14,51.19,0.0,47.18
TOTAL,67.35,68.71,33.33,68.04
