COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
CATOOSA,27112.0,6.0,1325.0,1166.0,0.0,45.0,45.0,0.0,8.0,3.0,0.0,99.0,66.0,0.0,57.0,41.0,25.0,12953.0,10858.0,0.0,246.0,169.0
CHATTOOGA,8380.0,0.0,241.0,202.0,0.0,6.0,16.0,0.0,1.0,0.0,0.0,11.0,21.0,0.0,15.0,5.0,0.0,3878.0,3427.0,0.0,339.0,218.0
COBB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DADE,6412.0,0.0,259.0,230.0,1.0,7.0,8.0,0.0,2.0,2.0,0.0,13.0,5.0,0.0,10.0,5.0,1.0,3107.0,2737.0,0.0,17.0,8.0
FLOYD,35050.0,9.0,888.0,766.0,0.0,60.0,38.0,0.0,6.0,11.0,1.0,334.0,258.0,2.0,124.0,71.0,4.0,15541.0,13336.0,1.0,2376.0,1224.0
GORDON,19170.0,6.0,226.0,205.0,0.0,21.0,25.0,0.0,5.0,6.0,0.0,378.0,298.0,0.0,33.0,36.0,5.0,9188.0,8139.0,0.0,350.0,249.0
HARALSON,11504.0,3.0,190.0,208.0,0.0,13.0,19.0,0.0,2.0,3.0,0.0,19.0,13.0,0.0,18.0,12.0,6.0,5700.0,4905.0,0.0,254.0,139.0
MURRAY,12593.0,2.0,393.0,402.0,0.0,19.0,25.0,0.0,3.0,1.0,0.0,230.0,184.0,0.0,8.0,5.0,6.0,5989.0,5292.0,0.0,20.0,14.0
PAULDING,65684.0,23.0,2850.0,2446.0,1.0,312.0,242.0,0.0,20.0,8.0,1.0,740.0,540.0,0.0,189.0,109.0,25.0,25586.0,22165.0,7.0,6513.0,3907.0
PICKENS,4755.0,0.0,63.0,77.0,0.0,4.0,1.0,0.0,5.0,3.0,0.0,21.0,9.0,0.0,6.0,7.0,0.0,2388.0,2156.0,0.0,6.0,9.0
POLK,14356.0,2.0,296.0,238.0,1.0,23.0,27.0,0.0,2.0,1.0,0.0,120.0,90.0,0.0,19.0,8.0,4.0,6465.0,5681.0,2.0,897.0,480.0
WALKER,24588.0,5.0,1181.0,1050.0,0.0,55.0,23.0,0.0,4.0,6.0,0.0,43.0,38.0,0.0,25.0,25.0,5.0,11574.0,9916.0,0.0,397.0,241.0
WHITFIELD,31012.0,9.0,1253.0,1121.0,1.0,88.0,82.0,0.0,8.0,8.0,4.0,1669.0,1378.0,0.0,97.0,91.0,14.0,12996.0,11128.0,0.0,645.0,420.0
TOTAL,260616.0,65.0,9165.0,8111.0,4.0,653.0,551.0,0.0,66.0,52.0,6.0,3677.0,2900.0,2.0,601.0,415.0,95.0,115365.0,99740.0,10.0,12060.0,7078.0
