COUNTY NAME,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
CATOOSA,44669.0,13.0,2372.0,2396.0,0.0,127.0,115.0,0.0,15.0,14.0,0.0,197.0,145.0,0.0,140.0,117.0,35.0,20738.0,17386.0,2.0,469.0,388.0
CHATTOOGA,13826.0,1.0,518.0,510.0,0.0,27.0,30.0,0.0,3.0,3.0,0.0,41.0,60.0,0.0,25.0,15.0,1.0,6285.0,5277.0,0.0,574.0,456.0
COBB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DADE,11209.0,0.0,460.0,520.0,2.0,16.0,18.0,0.0,5.0,3.0,1.0,32.0,25.0,0.0,22.0,21.0,4.0,5251.0,4765.0,0.0,35.0,29.0
FLOYD,56469.0,10.0,1826.0,1905.0,1.0,127.0,113.0,0.0,17.0,19.0,1.0,603.0,602.0,2.0,242.0,200.0,10.0,23486.0,20024.0,3.0,4401.0,2877.0
GORDON,30919.0,8.0,423.0,541.0,0.0,56.0,74.0,0.0,11.0,10.0,0.0,743.0,639.0,0.0,90.0,81.0,5.0,14347.0,12702.0,0.0,639.0,550.0
HARALSON,17634.0,3.0,391.0,401.0,0.0,30.0,29.0,0.0,5.0,7.0,0.0,40.0,28.0,0.0,42.0,37.0,11.0,8473.0,7389.0,0.0,432.0,316.0
MURRAY,20830.0,2.0,786.0,895.0,0.0,48.0,48.0,0.0,6.0,3.0,0.0,435.0,462.0,0.0,22.0,13.0,8.0,9485.0,8507.0,0.0,48.0,62.0
PAULDING,98854.0,35.0,4776.0,4720.0,1.0,534.0,439.0,0.0,41.0,17.0,1.0,1215.0,964.0,0.0,321.0,215.0,30.0,36547.0,32629.0,12.0,9479.0,6878.0
PICKENS,7150.0,0.0,120.0,181.0,0.0,12.0,9.0,0.0,6.0,4.0,0.0,41.0,14.0,0.0,15.0,11.0,0.0,3485.0,3214.0,0.0,13.0,25.0
POLK,22682.0,6.0,510.0,521.0,1.0,54.0,51.0,0.0,7.0,5.0,1.0,226.0,231.0,0.0,31.0,19.0,8.0,9768.0,8625.0,2.0,1547.0,1069.0
WALKER,42133.0,7.0,2257.0,2288.0,0.0,111.0,72.0,0.0,9.0,8.0,0.0,99.0,87.0,0.0,58.0,38.0,9.0,19227.0,16471.0,0.0,785.0,607.0
WHITFIELD,49765.0,17.0,2454.0,2618.0,1.0,201.0,170.0,0.0,13.0,15.0,7.0,2825.0,2896.0,0.0,202.0,195.0,20.0,19372.0,16717.0,1.0,1124.0,917.0
TOTAL,416141.0,102.0,16893.0,17496.0,6.0,1343.0,1168.0,0.0,138.0,108.0,11.0,6497.0,6153.0,2.0,1210.0,962.0,141.0,176465.0,153706.0,20.0,19546.0,14174.0
