-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,50.0,0.0,0.0,50.0
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,0.0,0.0,0.0
ASIAN-PACIFIC,50.0,0.0,0.0,50.0
WHITE,48.46,56.74,0.0,52.77
BLACK,35.29,51.02,0.0,44.58
TOTAL,43.9,53.94,0.0,49.33
