-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,43.9,54.67,0.0,49.56
OTHER,44.9,34.43,0.0,39.09
NATIVE AMERICAN,60.0,50.0,0.0,53.85
LATINO,36.08,52.34,100.0,45.72
ASIAN-PACIFIC,34.02,46.15,100.0,41.23
WHITE,43.14,50.65,75.0,47.04
BLACK,38.21,54.2,0.0,46.27
TOTAL,42.69,51.22,75.0,47.18
