-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,1.0,129.0,84.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,3.0,1.0,685.0,547.0,0.0,11.0,7.0,1487.0
30-34,0.0,135.0,129.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,4.0,4.0,1.0,816.0,655.0,0.0,17.0,15.0,1806.0
35-39,0.0,158.0,109.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,12.0,10.0,0.0,5.0,2.0,1.0,1025.0,772.0,0.0,20.0,17.0,2141.0
40-44,2.0,128.0,108.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,7.0,6.0,1.0,1119.0,927.0,0.0,31.0,17.0,2370.0
45-49,0.0,117.0,115.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,6.0,5.0,4.0,1322.0,1132.0,0.0,24.0,18.0,2779.0
50-54,0.0,104.0,90.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,8.0,6.0,0.0,6.0,4.0,2.0,1263.0,1169.0,0.0,32.0,21.0,2713.0
55-59,0.0,88.0,81.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,6.0,1.0,5.0,1286.0,1077.0,0.0,23.0,16.0,2604.0
60-64,0.0,90.0,82.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,4.0,3.0,0.0,1253.0,1072.0,0.0,22.0,15.0,2562.0
65-OVER,1.0,208.0,188.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,11.0,9.0,2.0,3442.0,2846.0,0.0,52.0,32.0,6807.0
TOTAL,4.0,1157.0,986.0,0.0,38.0,37.0,0.0,4.0,2.0,0.0,84.0,54.0,0.0,51.0,37.0,17.0,12211.0,10197.0,0.0,232.0,158.0,25269.0
