-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,29.63,36.36,0.0,31.58
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,20.0,60.0,0.0,40.0
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,44.25,50.21,0.0,47.28
BLACK,26.23,53.95,0.0,41.61
TOTAL,38.94,50.61,0.0,44.82
