,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,29.58,28.85,26.67,50.0,27.34,38.99,27.21,33.68
1,40.98,38.32,45.28,57.14,39.25,48.12,31.52,43.25
2,55.93,46.21,38.6,50.0,39.77,55.7,37.54,50.75
3,35.29,50.06,43.68,50.0,58.62,63.09,42.64,56.91
4,55.93,56.44,55.21,33.33,58.18,67.4,47.74,62.62
5,57.14,59.16,53.85,16.67,45.61,72.51,53.28,66.57
6,61.54,65.21,61.4,80.0,31.58,73.57,47.03,69.29
7,62.22,68.32,64.1,75.0,57.41,76.97,50.66,72.83
8,63.74,66.84,49.44,28.57,54.1,74.42,40.87,71.18
9,51.3,51.94,44.74,48.08,43.07,64.37,39.01,58.44
