-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,42.86,46.15,0.0,44.44
OTHER,50.0,50.0,0.0,50.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,0.0,0.0,0.0
ASIAN-PACIFIC,100.0,0.0,0.0,100.0
WHITE,45.45,41.18,0.0,43.4
BLACK,27.59,61.29,0.0,47.39
TOTAL,35.85,54.17,0.0,45.87
