,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,30.77,25.0,,22.22,47.34,44.0,41.09
1,,43.96,33.33,,25.0,60.47,32.0,54.45
2,83.33,47.55,25.0,,0.0,65.63,44.0,59.61
3,33.33,59.5,30.0,100.0,66.67,70.98,33.33,66.16
4,44.44,52.02,40.0,50.0,50.0,71.99,43.75,64.72
5,50.0,69.96,33.33,,37.5,74.91,52.38,72.16
6,,67.07,33.33,0.0,50.0,75.17,40.0,71.05
7,25.0,66.99,100.0,0.0,66.67,74.71,50.0,71.6
8,50.0,71.02,33.33,,,76.17,53.85,74.36
9,44.44,57.69,32.43,50.0,40.0,70.09,44.36,65.48
