,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,46.77,39.64,46.56,62.5,42.13,49.98,39.96,47.9
1,50.98,51.98,53.38,28.57,60.25,61.27,51.48,59.23
2,57.14,60.14,62.0,54.55,58.82,67.61,54.27,65.39
3,64.07,69.2,63.46,75.0,59.21,72.61,60.26,70.84
4,60.25,67.04,67.46,72.73,67.28,74.49,64.82,72.87
5,57.03,66.29,66.51,87.5,66.23,76.67,64.57,74.8
6,60.63,68.64,67.67,87.5,72.64,77.57,66.96,76.16
7,59.0,67.36,63.0,66.67,69.44,79.34,70.54,77.85
8,59.7,68.7,63.99,70.0,70.74,78.62,72.2,77.58
9,57.98,62.21,61.09,64.95,61.95,72.45,59.87,70.4
