AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,823.0,0.0,31.0,16.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,33.0,15.0,0.0,0.0,2.0,0.0,335.0,229.0,0.0,125.0,33.0
30-34,946.0,0.0,28.0,9.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,23.0,6.0,0.0,0.0,1.0,0.0,368.0,308.0,0.0,149.0,48.0
35-39,1069.0,2.0,25.0,18.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,2.0,0.0,399.0,380.0,0.0,157.0,67.0
40-44,1023.0,1.0,20.0,20.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,1.0,1.0,0.0,399.0,366.0,0.0,132.0,60.0
45-49,1152.0,0.0,21.0,10.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,4.0,3.0,1.0,485.0,402.0,0.0,123.0,70.0
50-54,1300.0,0.0,24.0,22.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,3.0,0.0,0.0,509.0,464.0,0.0,168.0,89.0
55-59,1386.0,2.0,23.0,18.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,7.0,8.0,0.0,3.0,3.0,0.0,548.0,490.0,0.0,166.0,110.0
60-64,1397.0,2.0,13.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,2.0,1.0,602.0,469.0,0.0,166.0,111.0
65-OVER,3732.0,1.0,37.0,30.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,7.0,8.0,0.0,2.0,3.0,0.0,1696.0,1464.0,0.0,288.0,185.0
TOTAL,12828.0,8.0,222.0,163.0,0.0,29.0,18.0,0.0,3.0,1.0,0.0,107.0,82.0,0.0,16.0,17.0,2.0,5341.0,4572.0,0.0,1474.0,773.0
