-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,33.33,32.26,11.11,50.0,33.33,44.95,38.2,43.6
30-34,66.67,39.44,12.5,0.0,33.33,56.44,49.35,54.93
35-39,35.71,42.31,50.0,0.0,60.0,64.16,52.05,62.06
40-44,50.0,55.1,40.0,100.0,100.0,68.43,56.94,67.32
45-49,42.86,60.32,50.0,0.0,71.43,69.43,60.53,68.55
50-54,50.0,60.81,80.0,0.0,57.14,69.73,64.1,69.01
55-59,66.67,66.67,60.0,66.67,33.33,72.84,50.94,71.64
60-64,25.0,65.08,100.0,0.0,100.0,77.69,57.14,75.96
65-OVER,33.33,65.19,50.0,0.0,57.14,76.66,51.22,75.44
TOTAL,40.28,54.61,43.33,50.0,60.0,68.22,53.0,66.77
