-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,100.0,50.94,36.36,0.0,50.0,45.11,28.21,45.52
30-34,100.0,47.65,50.0,0.0,100.0,58.2,44.83,55.26
35-39,0.0,51.72,0.0,0.0,0.0,64.12,48.0,60.3
40-44,100.0,60.87,0.0,100.0,50.0,67.41,28.57,65.34
45-49,100.0,62.6,100.0,0.0,100.0,69.71,50.0,68.41
50-54,100.0,69.57,100.0,0.0,100.0,77.27,52.17,75.48
55-59,100.0,71.02,57.14,0.0,0.0,75.89,56.0,74.24
60-64,0.0,77.6,50.0,0.0,0.0,78.28,33.33,76.6
65-OVER,33.33,71.39,71.43,0.0,50.0,77.28,40.0,75.64
TOTAL,85.71,64.17,60.38,50.0,56.25,70.37,41.7,68.29
