AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,617.0,0.0,13.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,5.0,0.0,210.0,199.0,0.0,106.0,62.0
30-34,523.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,194.0,189.0,0.0,70.0,49.0
35-39,531.0,1.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,206.0,184.0,1.0,87.0,35.0
40-44,517.0,0.0,15.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,219.0,173.0,0.0,53.0,41.0
45-49,589.0,0.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,221.0,214.0,0.0,79.0,52.0
50-54,678.0,0.0,6.0,8.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,0.0,280.0,245.0,0.0,81.0,45.0
55-59,692.0,0.0,7.0,11.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,259.0,263.0,0.0,92.0,50.0
60-64,543.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,214.0,207.0,0.0,54.0,53.0
65-OVER,1720.0,0.0,14.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,803.0,662.0,0.0,141.0,77.0
TOTAL,6410.0,1.0,85.0,75.0,0.0,12.0,7.0,0.0,2.0,1.0,0.0,17.0,8.0,0.0,13.0,19.0,0.0,2606.0,2336.0,1.0,763.0,464.0
