-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,35.0,45.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,39.0,22.0,0.0,1.0,0.0,1.0,391.0,299.0,0.0,1.0,0.0,841.0
30-34,0.0,44.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,13.0,0.0,0.0,0.0,0.0,399.0,339.0,0.0,1.0,1.0,862.0
35-39,0.0,41.0,40.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,18.0,6.0,0.0,0.0,1.0,1.0,499.0,365.0,0.0,1.0,3.0,982.0
40-44,0.0,37.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,13.0,0.0,1.0,1.0,1.0,515.0,420.0,0.0,5.0,3.0,1065.0
45-49,0.0,32.0,44.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,22.0,21.0,0.0,1.0,0.0,2.0,580.0,553.0,0.0,1.0,1.0,1265.0
50-54,0.0,39.0,23.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,23.0,0.0,2.0,1.0,0.0,670.0,597.0,0.0,1.0,2.0,1372.0
55-59,0.0,27.0,32.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0,0.0,1.0,1.0,619.0,595.0,0.0,2.0,2.0,1307.0
60-64,0.0,28.0,25.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,616.0,517.0,0.0,1.0,1.0,1202.0
65-OVER,0.0,56.0,53.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,1.0,1.0,0.0,1305.0,1280.0,0.0,5.0,0.0,2734.0
TOTAL,0.0,339.0,340.0,0.0,16.0,23.0,0.0,3.0,0.0,0.0,167.0,134.0,0.0,7.0,5.0,6.0,5594.0,4965.0,0.0,18.0,13.0,11630.0
