-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,26.67,50.0,0.0,36.0
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,100.0,0.0,0.0,50.0
LATINO,33.33,25.0,0.0,28.57
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,38.46,37.97,0.0,38.19
BLACK,7.69,43.24,0.0,28.57
TOTAL,35.03,38.29,0.0,36.8
