-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,32.26,48.41,0.0,40.16
OTHER,34.04,46.15,0.0,41.07
NATIVE AMERICAN,100.0,0.0,0.0,33.33
LATINO,38.94,51.2,0.0,45.38
ASIAN-PACIFIC,35.0,46.67,0.0,42.0
WHITE,47.23,53.84,100.0,50.75
BLACK,31.08,48.6,100.0,40.79
TOTAL,42.21,52.05,100.0,47.44
