-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,100.0,44.23,36.36,0.0,55.56,52.0,47.06,50.21
30-34,0.0,52.27,25.0,0.0,50.0,64.03,60.56,61.51
35-39,100.0,60.63,100.0,100.0,100.0,69.22,56.06,66.95
40-44,75.0,64.13,100.0,100.0,100.0,75.83,46.88,71.93
45-49,50.0,72.31,28.57,0.0,75.0,77.14,63.64,75.33
50-54,0.0,67.69,100.0,100.0,40.0,82.15,65.22,79.03
55-59,50.0,72.67,50.0,100.0,100.0,83.67,74.47,81.32
60-64,50.0,77.78,50.0,0.0,100.0,84.01,42.42,81.36
65-OVER,50.0,68.9,50.0,100.0,33.33,84.05,65.45,81.36
TOTAL,56.25,65.84,54.72,85.71,66.67,77.17,57.69,74.21
