-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,33.33,30.77,0.0,32.14
OTHER,25.0,0.0,0.0,16.67
NATIVE AMERICAN,100.0,0.0,0.0,100.0
LATINO,0.0,44.44,0.0,30.77
ASIAN-PACIFIC,100.0,100.0,0.0,100.0
WHITE,46.31,45.26,0.0,45.73
BLACK,22.41,23.81,0.0,23.14
TOTAL,41.88,41.87,0.0,41.88
