-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,36.76,39.51,38.86,50.0,29.21,47.41,39.88,44.5
30-34,52.81,51.52,51.98,50.0,54.41,58.78,54.54,56.77
35-39,50.0,56.52,60.78,0.0,56.72,64.39,54.64,61.75
40-44,60.5,58.94,49.07,66.67,49.35,68.25,56.18,64.83
45-49,55.56,64.85,66.4,100.0,56.9,72.79,62.27,70.28
50-54,59.38,68.63,69.02,62.5,71.43,75.63,64.7,73.38
55-59,48.44,69.64,66.67,100.0,62.07,76.4,65.42,74.03
60-64,39.47,71.77,67.89,0.0,75.0,78.47,62.62,75.92
65-OVER,48.75,70.28,51.63,100.0,55.56,78.63,64.41,76.23
TOTAL,51.97,61.2,57.29,60.0,54.47,70.64,57.67,67.51
