-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,8.7,44.44,0.0,30.51
OTHER,50.0,100.0,0.0,66.67
NATIVE AMERICAN,33.33,66.67,0.0,50.0
LATINO,50.0,12.5,0.0,25.0
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,40.32,45.51,0.0,42.98
BLACK,0.0,0.0,0.0,0.0
TOTAL,38.94,44.95,0.0,42.07
