-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,20.0,50.0,0.0,33.33
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,8.33,39.13,0.0,28.57
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,43.51,42.26,0.0,42.83
BLACK,22.41,19.44,0.0,20.77
TOTAL,37.9,37.89,0.0,37.89
