PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
PRESTON 1,0.00,60.86,50.00,0.00,44.44,79.46,57.14,70.61
TOTAL,0.00,60.86,50.00,0.00,44.44,79.46,57.14,70.61
