-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,36.36,25.0,0.0,31.58
OTHER,100.0,0.0,0.0,16.67
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,0.0,0.0,0.0
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,37.65,52.5,0.0,44.85
BLACK,23.75,48.65,0.0,37.5
TOTAL,27.57,47.47,0.0,38.26
