-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,40.1,41.66,46.16,38.14,39.23,46.21,35.74,42.93
30-34,42.64,52.99,52.31,48.57,47.56,55.4,44.86,52.0
35-39,50.14,60.91,59.24,54.76,57.74,63.38,51.09,59.79
40-44,53.07,66.13,62.15,68.92,61.55,69.12,53.98,64.6
45-49,53.74,70.06,64.65,60.47,65.9,74.24,57.06,69.05
50-54,55.23,72.02,65.17,58.73,64.63,77.23,58.25,71.78
55-59,53.36,71.28,63.72,69.7,69.23,78.43,58.41,72.86
60-64,53.85,72.21,63.85,52.83,68.31,79.75,60.75,74.34
65-OVER,49.28,69.88,58.6,58.43,62.62,76.93,58.05,71.92
TOTAL,50.03,63.54,58.47,56.16,58.52,71.02,52.14,64.74
