-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,28.0,44.44,0.0,36.54
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,50.0,40.0,0.0,42.86
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,38.26,36.63,0.0,37.32
BLACK,12.77,48.57,0.0,34.19
TOTAL,31.56,39.87,0.0,36.35
