-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,1.0,40.0,48.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,4.0,5.0,0.0,1.0,2.0,0.0,762.0,653.0,0.0,41.0,52.0,1617.0
30-34,0.0,34.0,43.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,1.0,0.0,672.0,586.0,0.0,47.0,24.0,1420.0
35-39,1.0,37.0,35.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,9.0,3.0,0.0,7.0,7.0,0.0,596.0,520.0,0.0,31.0,21.0,1273.0
40-44,0.0,32.0,40.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,5.0,5.0,0.0,738.0,605.0,0.0,29.0,20.0,1484.0
45-49,0.0,36.0,40.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,6.0,1.0,0.0,864.0,765.0,0.0,35.0,28.0,1790.0
50-54,0.0,46.0,32.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,805.0,751.0,0.0,51.0,23.0,1723.0
55-59,0.0,27.0,26.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,4.0,2.0,0.0,694.0,698.0,0.0,40.0,32.0,1534.0
60-64,0.0,23.0,26.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,5.0,0.0,652.0,554.0,0.0,27.0,36.0,1335.0
65-OVER,0.0,43.0,39.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,10.0,0.0,1964.0,1566.0,0.0,85.0,50.0,3775.0
TOTAL,2.0,318.0,329.0,0.0,24.0,21.0,0.0,4.0,4.0,0.0,37.0,23.0,0.0,39.0,33.0,0.0,7747.0,6698.0,0.0,386.0,286.0,15951.0
