-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,0.0,75.0,0.0,60.0
OTHER,0.0,0.0,0.0,0.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,0.0,0.0,0.0
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,61.43,50.0,0.0,55.13
BLACK,25.0,39.02,0.0,33.33
TOTAL,49.5,46.27,0.0,47.66
