-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,33.52,43.16,0.0,38.24
OTHER,30.99,45.1,0.0,36.89
NATIVE AMERICAN,0.0,40.0,0.0,40.0
LATINO,37.84,48.45,0.0,43.86
ASIAN-PACIFIC,29.23,43.75,0.0,36.43
WHITE,39.17,42.52,60.0,40.84
BLACK,40.15,56.48,0.0,48.83
TOTAL,38.09,45.99,60.0,42.06
