PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
TIFTON NORTHEAST,53.55,57.08,40.00,55.56
BRIGHTON,73.65,72.94,33.33,73.24
BROOKFIELD,65.50,68.23,50.00,66.89
CHULA,76.82,74.92,50.00,75.79
DOCIA,70.65,76.17,0.00,73.52
ELDORADO,63.28,63.58,100.0,63.50
OMEGA,58.06,59.48,0.00,58.88
TY TY,60.82,68.53,66.67,65.06
TIFTON NORTHWEST,62.65,67.19,33.33,65.09
TIFTON SOUTH,44.02,52.44,25.00,48.82
MOTT-LITMAN GYM,39.25,53.12,25.00,47.23
TIFTON LODGE,60.74,63.30,66.67,62.20
99999,0.00,0.00,0.00,0.00
TOTAL,59.05,62.79,42.22,61.09
